participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_01036,player,opportunistic_player,0.0,True,1,7.258597433,-2.790661043,0,2,2,0,0.0,0.0
player_01037,player,occasional_player,0.0,True,1,7.920807982,-1.787470983,1,3,4,0,0.214707083,0.0
player_01038,player,player_whale,0.0,True,1,40.027077542,0.909018839,1,1,2,0,0.124058229,0.0
player_01039,player,occasional_player,0.0,True,1,3.277789412,-1.485333456,0,2,2,0,0.0,0.0
player_01040,player,occasional_player,0.0,True,1,0.507118715,-0.75507409,0,4,4,0,0.0,0.0
player_01041,player,occasional_player,0.0,True,1,3.39118471,-0.671328305,0,1,1,1,0.0,0.0
player_01042,player,occasional_player,0.0,True,1,2.261222365,-0.620474874,0,1,1,0,0.0,0.0
player_01043,player,occasional_player,0.0,True,1,0.623319931,-0.833466037,0,5,5,0,0.0,0.0
player_01044,player,occasional_player,0.0,True,1,1.97786202,-0.860012348,0,2,2,0,0.0,0.0
player_01045,player,occasional_player,0.0,True,1,0.725215032,-0.566059841,0,3,3,0,0.0,0.0
player_01046,player,occasional_player,0.0,True,1,11.035708469,-2.115340997,0,2,2,0,0.0,0.0
player_01047,player,occasional_player,0.0,True,1,0.88780481,-0.11219519,0,1,1,0,0.0,0.0
player_01048,player,opportunistic_player,0.0,True,1,2.25808402,-0.74191598,0,2,2,0,0.0,0.0
player_01049,player,occasional_player,0.0,True,1,1.807788015,-0.470810769,0,1,1,0,0.0,0.0
player_01050,player,occasional_player,0.0,True,1,9.249349425,-1.148874361,0,1,1,0,0.0,0.0
player_01051,player,occasional_player,0.0,True,1,3.396370482,-0.91313136,0,1,1,0,0.0,0.0
player_01052,player,opportunistic_player,0.0,True,1,4.854604928,-1.213470368,0,2,2,0,0.0,0.0
player_01053,player,occasional_player,0.0,True,1,1.659662673,-1.438019737,0,4,4,0,0.0,0.0
player_01054,player,player_whale,0.0,True,1,128.969442107,-0.243562592,1,1,2,0,0.189437274,0.0
player_01055,player,opportunistic_player,0.0,True,1,13.309101396,-2.85600734,1,3,4,0,0.104210002,0.0
player_01056,player,occasional_player,0.0,True,1,2.366068181,-0.809448894,0,2,2,0,0.0,0.0
player_01057,player,opportunistic_player,0.0,True,1,10.251903591,-1.366067954,0,1,1,0,0.0,0.0
player_01058,player,opportunistic_player,0.0,True,1,31.848253987,14.387970439,2,0,2,0,0.757261602,0.0
player_01059,player,occasional_player,0.0,True,1,5.971606416,-2.021195734,0,2,2,0,0.0,0.0
player_01060,player,player_whale,0.0,True,1,55.741668219,-4.113133018,1,2,3,0,0.292492582,0.0
player_01061,player,occasional_player,0.0,True,1,9.18992025,-5.418052884,0,3,3,0,0.0,0.0
player_01062,player,occasional_player,0.0,True,1,21.875994719,4.824336099,1,1,2,0,0.371721454,0.0
player_01063,player,player_whale,0.0,True,1,84.085010482,-6.602386254,1,3,4,0,0.262629694,0.0
player_01064,player,opportunistic_player,0.0,True,1,10.24462991,-4.726266989,0,3,3,0,0.0,0.0
player_01065,player,occasional_player,0.0,True,1,3.135519224,-4.072634617,0,5,5,0,0.0,0.0
player_01066,player,occasional_player,0.0,True,1,1.385996434,-0.761760716,0,2,2,1,0.0,0.0
player_01067,player,occasional_player,0.0,True,1,5.324932901,3.124943571,1,3,4,0,0.277117592,0.0
