draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
3,countdown,player_00029,occasional_player,0.808767857,5.740016368,1.0,0.808767857,30,,0.084983215,0.076484893,7.073827471,8.746425083,-0.205868396,lost,-0.808767857,0.0
3,countdown,player_00030,occasional_player,1.372686636,6.548784225,1.0,1.372686636,30,,0.144238327,0.129814495,6.538104631,4.762998677,-0.345751266,lost,-1.372686636,0.0
4,bootstrap,player_00013,persistent_player,1.481176811,0,1.5,2.221765217,0,,0.284227379,0.255804641,4.591683694,3.100024021,0.072289092,won,4.591683694,0.241667563
4,bootstrap,player_00002,persistent_player,1.475648205,1.481176811,1.347234624,1.988044355,10,,0.25432779,0.228895011,4.596935869,3.115197683,-0.085664009,lost,-1.475648205,0.0
4,bootstrap,player_00031,occasional_player,3.018351362,2.956825016,1.195039457,3.607048972,20,,0.461444831,0.415300348,3.13136787,1.037443125,-0.464370824,lost,-3.018351362,0.0
5,bootstrap,player_00001,persistent_player,0.673422825,0,1.5,1.010134237,0,,0.126998363,0.114298526,5.663668308,8.410270781,0.050897354,lost,-0.673422825,0.0
5,bootstrap,player_00014,persistent_player,0.957246264,0.673422825,1.430899898,1.369723582,10,,0.172207461,0.154986715,5.394036041,5.63495126,0.027118117,lost,-0.957246264,0.0
5,bootstrap,player_00012,persistent_player,0.431142698,1.630669089,1.332676596,0.574573783,20,,0.072237854,0.065014069,5.893834429,13.670263828,-0.0199302,lost,-0.431142698,0.0
5,bootstrap,player_00025,opportunistic_player,0.829948688,2.061811787,1.288436925,1.069336535,30,,0.134441527,0.120997374,5.514968739,6.644951451,-0.06223034,lost,-0.829948688,0.0
5,bootstrap,player_00021,persistent_player,2.596598474,2.891760475,1.203275661,3.124423745,40,,0.392815812,0.35353423,3.836651442,1.477568242,-0.322224415,lost,-2.596598474,0.0
5,countdown,player_00032,occasional_player,0.805723547,5.488358949,1.0,0.805723547,40,,0.101298983,0.091169085,5.537982623,6.873303682,-0.22737366,lost,-0.805723547,0.0
